Nutrient Data Bank Number,Category,Description,Категория,Ингредиенты,Описание,"Калории, ккал",Влага,Белки,Углеводы,Жиры,"Кальций, мг","Фосфор, мг","Магний, мг","Натрий, мг","Калий, мг","Железо, мг","Медь, мг","Цинк, мг","Марганец, мг","Витамин A, мкг","Витамин E, мг","Витамин Д, мкг","Витамин В1 (тиамин), мг","Витамин В2 (Рибофлавин), мг","Витамин В3 (Ниацин), мг","Витамин В6, мг","Витамин В12, мкг","Пантотеновая кислота, мг","Линолевая кислота, г","Фолиевая кислота, мкг","Альфа-линоленовая кислота, г","Арахидоновая кислота, г","ЭПК, г","ДГК, г","Холин, мг","Селен, мкг","Йод, мкг","Зола, г","Клетчатка, г","Холестерин, мг","Сахар общее, г",Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Lutein and Zeaxanthin,Lycopene,Refuse Percentage,Retinol,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Household Weights.1st Household Weight,Household Weights.1st Household Weight Description,Household Weights.2nd Household Weight,Household Weights.2nd Household Weight Description,Vitamin A - IU,Vitamin C,Vitamin K
14555,WATER,"WATER,BTLD,GENERIC","Вода, соль и сахар",Вода,Обыкновенный,0,99.98,0.0,0.0,0.0,10,0,2,2,0,0.0,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.07,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,29.57,1 fl oz,237,1 cup,0,0.0,0.0
2047,SALT,"SALT,TABLE","Вода, соль и сахар",Соль,"Поваренная, йодированная",0,0.2,0.0,0.0,0.0,24,0,1,38758,8,0.33,0.03,0.1,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,5080.0,99.8,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,292.0,1 cup,18,1 tbsp,0,0.0,0.0
19304,No Category,MOLASSES,"Вода, соль и сахар",Патока,Обыкновенный,290,21.87,0.0,74.73,0.1,205,31,242,37,1464,4.72,0.487,0.29,1.53,0,0.0,0.0,0.041,0.002,0.93,0.67,0.0,0.804,0.05,0,0.0,0.0,0.0,0.0,13,17.8,0.0,3.3,0.0,0,55.49000168,0,0,0,0,0,0,0,0.032,0.05,0.018,337.16,1 cup,20,"1 serving, 1 tbsp",0,0.0,0.0
11007,ARTICHOKES,"ARTICHOKES,(GLOBE OR FRENCH),RAW",Зелень и специи,Артишоки,Обыкновенный,47,84.94,3.27,10.51,0.15,44,90,60,94,370,1.28,0.231,0.49,0.256,1,0.19,0.0,0.072,0.066,1.046,0.116,0.0,0.338,0.046,0,0.017,0.0,0.0,0.0,34,0.2,0.0,1.13,5.400000095,0,0.99000001,0,8,0,464,0,60,0,0.005,0.064,0.036,128.0,"1 artichoke,  medium",162,"1 artichoke,  large",13,11.7,14.8
2044,BASIL,"BASIL,FRESH",Зелень и специи,Базилик,Обыкновенный,23,92.06,3.15,2.65,0.64,177,56,64,4,295,3.17,0.385,0.81,1.148,264,0.8,0.0,0.034,0.076,0.902,0.155,0.0,0.209,0.073,0,0.316,0.0,0.0,0.0,11,0.3,0.0,1.49,1.600000024,0,0.300000012,0,3142,46,5650,0,36,0,0.088,0.389,0.041,5.3,"2 tbsp, chopped",2,5 leaves,5275,18.0,414.8
11446,SEAWEED,"SEAWEED,LAVER,RAW",Зелень и специи,Водоросли,Морская Водоросль (Нори),35,85.03,5.81,5.11,0.28,70,58,2,48,356,1.8,0.264,1.05,0.988,260,1.0,0.0,0.098,0.446,1.47,0.159,0.0,0.521,0.004,0,0.001,0.009,0.08,0.0,10,0.7,2460.0,3.77,0.300000012,0,0.49000001,0,3121,0,0,0,0,0,0.025,0.11,0.061,26.0,10 sheets,10,"2 tbsp,  (1/8 cup)",5202,39.0,4.0
11445,SEAWEED,"SEAWEED,KELP,RAW,KELP,RAW",Зелень и специи,Водоросли,Морская Капуста (Ламинария),43,81.58,1.68,9.57,0.56,168,42,121,233,89,2.85,0.13,1.23,0.2,6,0.87,0.0,0.05,0.15,0.47,0.002,0.0,0.642,0.02,0,0.004,0.012,0.004,0.0,13,0.7,3500.0,6.61,1.299999952,0,0.600000024,0,70,0,0,0,0,0,0.098,0.047,0.247,10.0,"2 tbsp,  (1/8 cup)",0,,116,3.0,66.0
19177,GELATINS,"GELATINS,DRY PDR,UNSWTND",Зелень и специи,Желатин,"Сухой Порошок, Несладкий",335,13.0,85.6,0.0,0.1,55,39,22,196,16,1.11,2.161,0.14,0.105,0,0.0,0.0,0.025,0.23,0.085,0.007,0.0,0.125,0.0,0,0.0,0.0,0.0,0.0,38,39.5,0.0,1.3,0.0,0,0.0,0,0,0,0,0,0,0,0.06,0.01,0.07,7.0,"1 envelope,  (1 tbsp)",28,"1 package,  (1 oz)",0,0.0,0.0
11298,PARSNIPS,"PARSNIPS,RAW",Зелень и специи,Пастернак,Обыкновенный,75,79.53,1.2,17.99,0.3,36,71,29,10,375,0.59,0.12,0.59,0.56,0,1.49,0.0,0.09,0.05,0.7,0.09,0.0,0.6,0.041,0,0.003,0.0,0.0,0.0,0,1.8,0.0,0.98,4.900000095,0,4.800000191,0,0,0,0,0,15,0,0.112,0.047,0.05,133.0,"1 cup, slices",0,,0,17.0,22.5
11297,PARSLEY,"PARSLEY,RAW",Зелень и специи,Петрушка,Обыкновенный,36,87.71,2.97,6.33,0.79,138,58,50,56,554,6.2,0.149,1.07,0.16,421,0.75,0.0,0.086,0.098,1.313,0.09,0.0,0.4,0.115,0,0.008,0.0,0.0,0.0,13,0.1,0.0,2.2,3.299999952,0,0.850000024,0,5054,0,5561,0,5,0,0.295,0.124,0.132,60.0,1 cup,4,1 tbsp,8424,133.0,1640.0
