Ingredient,Translate,Type,Standart
Water,Вода,"Вода, соль и сахар",Вода — Обыкновенный
Iodized Salt,Йодированная соль,"Вода, соль и сахар",Соль — Поваренная
Various Sugars,Различные сахара,"Вода, соль и сахар","Сахар — Белый, Гранулированный"
Sugar,Сахар,"Вода, соль и сахар","Сахар — Белый, Гранулированный"
Salt,Соль,"Вода, соль и сахар",Соль — Поваренная
Cane Molasses,Тростниковая патока,"Вода, соль и сахар","Патока — Обыкновенный"
Spinach,Шпинат,Масло и жир,Шпинат — Обыкновенный
Broken Rice,дробленый рис,Крупы,"Рис — Белый, Длиннозерный"
Cereals,Зерновые,Крупы,"Рис — Белый, Длиннозерный"
Brown Rice,Коричневый рис,Крупы,"Рис — Коричневый, Длиннозерный"
Corn Gluten Meal,Кукурузная глютеновая мука,Крупы,Кукуруза — Обыкновенный
Maize Gluten Meal,Кукурузно-глютеновая мука,Крупы,Кукуруза — Обыкновенный
Corn Starch,Кукурузный крахмал,Крупы,Кукуруза — Обыкновенный
Corn Protein Meal,Кукурузный протеиновый корм,Крупы,Кукуруза — Обыкновенный
Flaxseed,Льняное семя,Крупы,Семена — Льна
Modified Rice Starch,Модифицированный рисовый крахмал,Крупы,"Рис — Белый, Длиннозерный"
Oats,Овес,Крупы,"Овес — Обыкновенный"
Oat Fiber,Овсяная клетчатка,Крупы,"Овес — Обыкновенный"
Oat Bran,Овсяные отруби,Крупы,"Овес — Обыкновенный"
Cracked Pearled Barley,Перловая крупа дробленая,Крупы,"Перловка — Обыкновенный"
Brewers' Rice,Пивоваренный рис,Крупы,"Рис — Белый, Длиннозерный"
Brewers Rice,Пивоварский рис,Крупы,"Рис — Белый, Длиннозерный"
Wheat,Пшеница,Крупы,Пшеница — Мягкая Красная
Wheat Gluten,Пшеничная клейковина,Крупы,Пшеница — Мягкая Красная
Wheat Flour,Пшеничная мука,Крупы,Пшеница — Мягкая Красная
Wheat Starch,Пшеничный крахмал,Крупы,Пшеница — Мягкая Красная
Rice,Рис,Крупы,"Рис — Белый, Длиннозерный"
Rice Flour,Рисовая мука,Крупы,"Рис — Белый, Длиннозерный"
Rice Starch,Рисовый крахмал,Крупы,"Рис — Белый, Длиннозерный"
Seeds,Семена,Крупы,Семена — Льна
Soybean Meal,Соевый шрот,Крупы,Соевые Бобы — Обыкновенный
Whole Grain Corn,Цельнозерновая кукуруза,Крупы,Кукуруза — Обыкновенный
